VERSION,COMBINED
v1.27.4,libc62.31-13+deb11u6 debCVE-2018-20796Negligible
v1.28.2,libc62.31-13+deb11u6 debCVE-2010-4756Negligible
v1.27.5,libssl1.11.1.1n-0+deb11u51.1.1v-0~deb11u1debCVE-2023-3817Medium
v1.27.0-rc.1,libssl1.11.1.1n-0+deb11u51.1.1v-0~deb11u1debCVE-2023-3446Medium
v1.28.0-rc.1,libssl1.11.1.1n-0+deb11u5 debCVE-2010-0928Negligible
v1.27.5,libssl1.11.1.1n-0+deb11u5 debCVE-2007-6755Negligible
v1.28.0,libssl1.11.1.1n-0+deb11u5(won't fix)debCVE-2023-5678Unknown
v1.28.0,openssl1.1.1n-0+deb11u51.1.1v-0~deb11u1debCVE-2023-3817Medium
v1.28.0,openssl1.1.1n-0+deb11u51.1.1v-0~deb11u1debCVE-2023-3446Medium
v1.28.0-beta.0,openssl1.1.1n-0+deb11u5 debCVE-2010-0928Negligible
v1.27.0-beta.0,openssl1.1.1n-0+deb11u5 debCVE-2007-6755Negligible
v1.27.4,openssl1.1.1n-0+deb11u5(won't fix)debCVE-2023-5678Unknown
v1.28.0-rc.0,github.com/docker/distributionv2.8.1+incompatible2.8.2-beta.1go-moduleCVE-2023-2253Medium
v1.28.0-rc.0,go.opentelemetry.io/contrib/instrumentation/net/http/otelhttpv0.35.00.44.0go-moduleCVE-2023-45142High
v1.24.9,golang.org/x/netv0.8.00.17.0go-moduleCVE-2023-44487High
v1.23.9,golang.org/x/netv0.8.00.17.0go-moduleCVE-2023-39325High
v1.23.9,golang.org/x/netv0.8.00.13.0go-moduleCVE-2023-3978Medium
v1.24.0-rc.1,google.golang.org/grpcv1.49.01.56.3go-moduleGHSA-m425-mq94-257gHigh
v1.24.0-rc.1,google.golang.org/grpcv1.49.01.56.3go-moduleCVE-2023-44487High
v1.24.5,github.com/docker/distributionv2.8.1+incompatible2.8.2-beta.1go-moduleCVE-2023-2253Medium
v1.24.5,golang.org/x/netv0.8.00.17.0go-moduleCVE-2023-44487High
v1.23.3,golang.org/x/netv0.8.00.17.0go-moduleCVE-2023-39325High
v1.26.0-alpha.3,golang.org/x/netv0.8.00.13.0go-moduleCVE-2023-3978Medium
v1.23.8,libc62.31-13+deb11u62.31-13+deb11u7debCVE-2023-4911High
v1.24.0-alpha.1,libc62.31-13+deb11u6(won't fix)debCVE-2023-4813Medium
v1.24.0-alpha.2,libc62.31-13+deb11u6(won't fix)debCVE-2023-4806Medium
v1.24.10,libc62.31-13+deb11u6 debCVE-2019-9192Negligible
v1.24.14,libc62.31-13+deb11u6 debCVE-2019-1010025Negligible
v1.23.8,libc62.31-13+deb11u6 debCVE-2019-1010024Negligible
v1.23.8,libc62.31-13+deb11u6 debCVE-2019-1010023Negligible
v1.23.6,libc62.31-13+deb11u6 debCVE-2019-1010022Negligible
v1.23.6,libc62.31-13+deb11u6 debCVE-2018-20796Negligible
v1.25.5,libssl1.11.1.1n-0+deb11u51.1.1v-0~deb11u1debCVE-2023-3817Medium
v1.24.0-alpha.4,libssl1.11.1.1n-0+deb11u51.1.1v-0~deb11u1debCVE-2023-3446Medium
v1.24.0-alpha.4,libssl1.11.1.1n-0+deb11u5 debCVE-2010-0928Negligible
v1.23.13,libssl1.11.1.1n-0+deb11u5 debCVE-2007-6755Negligible
v1.23.13,libssl1.11.1.1n-0+deb11u5(won't fix)debCVE-2023-5678Unknown
v1.24.0-alpha.3,openssl1.1.1n-0+deb11u51.1.1v-0~deb11u1debCVE-2023-3817Medium
v1.22.12,openssl1.1.1n-0+deb11u51.1.1v-0~deb11u1debCVE-2023-3446Medium
v1.21.13,openssl1.1.1n-0+deb11u5 debCVE-2010-0928Negligible
v1.21.13,openssl1.1.1n-0+deb11u5 debCVE-2007-6755Negligible
v1.23.0-rc.1,openssl1.1.1n-0+deb11u5(won't fix)debCVE-2023-5678Unknown
v1.23.0,github.com/docker/distributionv2.8.1+incompatible2.8.2-beta.1go-moduleCVE-2023-2253Medium
v1.23.0,go.opentelemetry.io/contrib/instrumentation/net/http/otelhttpv0.20.00.44.0go-moduleCVE-2023-45142High
v1.22.9,golang.org/x/netv0.3.1-0.20221206200815-1e63c2f08a100.17.0go-moduleCVE-2023-44487High
v1.23.0-rc.0,golang.org/x/netv0.3.1-0.20221206200815-1e63c2f08a100.17.0go-moduleCVE-2023-39325High
v1.21.11,golang.org/x/netv0.3.1-0.20221206200815-1e63c2f08a100.7.0go-moduleCVE-2022-41723High
v1.21.11,golang.org/x/netv0.3.1-0.20221206200815-1e63c2f08a100.13.0go-moduleCVE-2023-3978Medium
v1.21.5,google.golang.org/grpcv1.47.01.56.3go-moduleGHSA-m425-mq94-257gHigh
v1.21.5,google.golang.org/grpcv1.47.01.56.3go-moduleCVE-2023-44487High
v1.21.14,k8s.io/kubernetesv1.25.61.25.13go-moduleCVE-2023-3955High
v1.21.14,k8s.io/kubernetesv1.25.61.25.11go-moduleCVE-2023-2728Medium
v1.22.4,k8s.io/kubernetesv1.25.61.25.11go-moduleCVE-2023-2727Medium
v1.22.10,k8s.io/kubernetesv1.25.61.25.10go-moduleCVE-2023-2431Medium
v1.21.8,k8s.io/kubernetesv1.25.61.26.0-alpha.3go-moduleCVE-2021-25743Low
v1.21.8,github.com/cyphar/filepath-securejoinv0.2.30.2.4go-moduleGHSA-6xv5-86q9-7xr8Medium
v1.22.5,github.com/docker/distributionv2.8.1+incompatible2.8.2-beta.1go-moduleCVE-2023-2253Medium
v1.22.8,github.com/opencontainers/runcv1.1.41.1.5go-moduleCVE-2023-28642High
v1.23.0-beta.0,github.com/opencontainers/runcv1.1.41.1.5go-moduleCVE-2023-27561High
v1.22.14,github.com/opencontainers/runcv1.1.41.1.5go-moduleCVE-2023-25809Medium
v1.23.0-beta.0,go.opentelemetry.io/contrib/instrumentation/net/http/otelhttpv0.35.00.44.0go-moduleCVE-2023-45142High
v1.23.0-beta.0,golang.org/x/netv0.1.1-0.20221027164007-c63010009c800.17.0go-moduleCVE-2023-44487High
v1.21.10,golang.org/x/netv0.1.1-0.20221027164007-c63010009c800.17.0go-moduleCVE-2023-39325High
v1.21.10,golang.org/x/netv0.1.1-0.20221027164007-c63010009c800.7.0go-moduleCVE-2022-41723High
v1.21.12,golang.org/x/netv0.1.1-0.20221027164007-c63010009c800.1.1-0.20221104162952-702349b0e862go-moduleCVE-2022-41721High
v1.21.12,golang.org/x/netv0.1.1-0.20221027164007-c63010009c800.13.0go-moduleCVE-2023-3978Medium
v1.22.11,google.golang.org/grpcv1.49.01.56.3go-moduleGHSA-m425-mq94-257gHigh
v1.22.13,google.golang.org/grpcv1.49.01.56.3go-moduleCVE-2023-44487High
v1.23.0-alpha.3,k8s.io/kubernetesv1.26.0-rc1.26.8go-moduleCVE-2023-3955High
v1.23.0-alpha.3,k8s.io/kubernetesv1.26.0-rc1.26.6go-moduleCVE-2023-2728Medium
v1.22.16,k8s.io/kubernetesv1.26.0-rc1.26.6go-moduleCVE-2023-2727Medium
v1.22.15,k8s.io/kubernetesv1.26.0-rc1.26.5go-moduleCVE-2023-2431Medium
v1.23.0-rc.1,libssl1.11.1.1n-0+deb11u31.1.1n-0+deb11u5debCVE-2023-0464High
v1.23.0-rc.1,libssl1.11.1.1n-0+deb11u31.1.1n-0+deb11u4debCVE-2023-0286High
v1.21.7,libssl1.11.1.1n-0+deb11u31.1.1n-0+deb11u4debCVE-2023-0215High
v1.21.7,libssl1.11.1.1n-0+deb11u31.1.1n-0+deb11u4debCVE-2022-4450High
v1.22.7,libssl1.11.1.1n-0+deb11u31.1.1v-0~deb11u1debCVE-2023-3817Medium
v1.22.6,libssl1.11.1.1n-0+deb11u31.1.1v-0~deb11u1debCVE-2023-3446Medium
v1.22.17,libssl1.11.1.1n-0+deb11u31.1.1n-0+deb11u5debCVE-2023-2650Medium
v1.23.1,libssl1.11.1.1n-0+deb11u31.1.1n-0+deb11u5debCVE-2023-0466Medium
v1.23.0-alpha.4,libssl1.11.1.1n-0+deb11u31.1.1n-0+deb11u5debCVE-2023-0465Medium
v1.21.9,libssl1.11.1.1n-0+deb11u31.1.1n-0+deb11u4debCVE-2022-4304Medium
v1.21.9,libssl1.11.1.1n-0+deb11u31.1.1n-0+deb11u4debCVE-2022-2097Medium
v1.23.0-rc.0,libssl1.11.1.1n-0+deb11u3 debCVE-2010-0928Negligible
v1.23.0-rc.0,libssl1.11.1.1n-0+deb11u3 debCVE-2007-6755Negligible
v1.23.0-alpha.4,libssl1.11.1.1n-0+deb11u3(won't fix)debCVE-2023-5678Unknown
v1.23.0-alpha.4,openssl1.1.1n-0+deb11u31.1.1n-0+deb11u5debCVE-2023-0464High
v1.22.3,openssl1.1.1n-0+deb11u31.1.1n-0+deb11u4debCVE-2023-0286High
v1.21.6,openssl1.1.1n-0+deb11u31.1.1n-0+deb11u4debCVE-2023-0215High
v1.21.6,openssl1.1.1n-0+deb11u31.1.1n-0+deb11u4debCVE-2022-4450High
v1.23.0,openssl1.1.1n-0+deb11u31.1.1v-0~deb11u1debCVE-2023-3817Medium
v1.26.1,openssl1.1.1n-0+deb11u31.1.1n-0+deb11u5debCVE-2023-2650Medium
v1.24.15,openssl1.1.1n-0+deb11u31.1.1n-0+deb11u5debCVE-2023-0466Medium
v1.25.12,openssl1.1.1n-0+deb11u31.1.1n-0+deb11u5debCVE-2023-0465Medium
v1.26.8,openssl1.1.1n-0+deb11u31.1.1n-0+deb11u4debCVE-2022-4304Medium
v1.25.10,openssl1.1.1n-0+deb11u3 debCVE-2010-0928Negligible
v1.23.17,openssl1.1.1n-0+deb11u3 debCVE-2007-6755Negligible
v1.23.17,openssl1.1.1n-0+deb11u3(won't fix)debCVE-2023-5678Unknown
v1.23.10,github.com/cyphar/filepath-securejoinv0.2.30.2.4go-moduleGHSA-6xv5-86q9-7xr8Medium
v1.25.14,github.com/docker/distributionv2.8.1+incompatible2.8.2-beta.1go-moduleCVE-2023-2253Medium
v1.24.0-alpha.1,github.com/opencontainers/runcv1.1.41.1.5go-moduleCVE-2023-28642High
v1.24.0-alpha.1,github.com/opencontainers/runcv1.1.41.1.5go-moduleCVE-2023-27561High
v1.23.7,github.com/opencontainers/runcv1.1.41.1.5go-moduleCVE-2023-25809Medium
v1.25.9,go.opentelemetry.io/contrib/instrumentation/net/http/otelhttpv0.35.00.44.0go-moduleCVE-2023-45142High
v1.24.0-rc.0,golang.org/x/netv0.3.1-0.20221206200815-1e63c2f08a100.17.0go-moduleCVE-2023-44487High
v1.24.0-rc.0,golang.org/x/netv0.3.1-0.20221206200815-1e63c2f08a100.17.0go-moduleCVE-2023-39325High
v1.23.11,golang.org/x/netv0.3.1-0.20221206200815-1e63c2f08a100.7.0go-moduleCVE-2022-41723High
v1.23.4,golang.org/x/netv0.3.1-0.20221206200815-1e63c2f08a100.13.0go-moduleCVE-2023-3978Medium
v1.24.9,google.golang.org/grpcv1.49.01.56.3go-moduleGHSA-m425-mq94-257gHigh
v1.24.9,google.golang.org/grpcv1.49.01.56.3go-moduleCVE-2023-44487High
v1.24.1,k8s.io/kubernetesv1.26.11.26.8go-moduleCVE-2023-3955High
v1.26.0,k8s.io/kubernetesv1.26.11.26.6go-moduleCVE-2023-2727Medium
v1.23.17,k8s.io/kubernetesv1.26.11.26.5go-moduleCVE-2023-2431Medium
v1.23.10,libssl1.11.1.1n-0+deb11u31.1.1n-0+deb11u5debCVE-2023-0464High
v1.23.10,libssl1.11.1.1n-0+deb11u31.1.1n-0+deb11u4debCVE-2023-0286High
v1.23.9,libssl1.11.1.1n-0+deb11u31.1.1n-0+deb11u4debCVE-2023-0215High
v1.24.6,libssl1.11.1.1n-0+deb11u31.1.1n-0+deb11u4debCVE-2022-4450High
v1.24.6,libssl1.11.1.1n-0+deb11u31.1.1v-0~deb11u1debCVE-2023-3817Medium
v1.23.6,libssl1.11.1.1n-0+deb11u31.1.1v-0~deb11u1debCVE-2023-3446Medium
v1.23.2,libssl1.11.1.1n-0+deb11u31.1.1n-0+deb11u5debCVE-2023-2650Medium
v1.24.1,libssl1.11.1.1n-0+deb11u31.1.1n-0+deb11u5debCVE-2023-0466Medium
v1.26.2,libssl1.11.1.1n-0+deb11u31.1.1n-0+deb11u5debCVE-2023-0465Medium
v1.26.7,libssl1.11.1.1n-0+deb11u31.1.1n-0+deb11u4debCVE-2022-4304Medium
v1.24.16,libssl1.11.1.1n-0+deb11u31.1.1n-0+deb11u4debCVE-2022-2097Medium
v1.24.14,libssl1.11.1.1n-0+deb11u3 debCVE-2010-0928Negligible
v1.24.14,libssl1.11.1.1n-0+deb11u3 debCVE-2007-6755Negligible
v1.24.0-alpha.2,libssl1.11.1.1n-0+deb11u3(won't fix)debCVE-2023-5678Unknown
v1.24.0-alpha.2,openssl1.1.1n-0+deb11u31.1.1n-0+deb11u5debCVE-2023-0464High
v1.23.1,openssl1.1.1n-0+deb11u31.1.1n-0+deb11u4debCVE-2023-0286High
v1.23.1,openssl1.1.1n-0+deb11u31.1.1n-0+deb11u4debCVE-2023-0215High
v1.24.0-beta.0,openssl1.1.1n-0+deb11u31.1.1n-0+deb11u4debCVE-2022-4450High
v1.24.0-beta.0,openssl1.1.1n-0+deb11u31.1.1v-0~deb11u1debCVE-2023-3817Medium
v1.24.11,openssl1.1.1n-0+deb11u31.1.1v-0~deb11u1debCVE-2023-3446Medium
v1.24.11,openssl1.1.1n-0+deb11u31.1.1n-0+deb11u5debCVE-2023-2650Medium
v1.23.15,openssl1.1.1n-0+deb11u31.1.1n-0+deb11u5debCVE-2023-0466Medium
v1.24.7,openssl1.1.1n-0+deb11u31.1.1n-0+deb11u5debCVE-2023-0465Medium
v1.24.7,openssl1.1.1n-0+deb11u31.1.1n-0+deb11u4debCVE-2022-4304Medium
