NAME,INSTALLED,FIXED-IN,TYPE,VULNERABILITY,SEVERITY,DATE,DESCRIPTION,COMBINED
libc-bin,2.36-9,2.36-9+deb12u3,deb,CVE-2023-4806,Medium,2023-09-18T17:15:55.813,"'A flaw was found in glibc. In an extremely rare situation, the getaddrinfo function may access memory that has been freed, resulting in an application crash. This issue is only exploitable when a NSS module implements only the _nss_*_gethostbyname2_r and _nss_*_getcanonname_r hooks without implementing the _nss_*_gethostbyname3_r hook. The resolved name should return a large number of IPv6 and IPv4, and the call to the getaddrinfo function should have the AF_INET6 address family with AI_CANONNAME, AI_ALL and AI_V4MAPPED as flags.'",libc-bin2.36-92.36-9+deb12u3debCVE-2023-4806Medium
libc6,2.36-9,2.36-9+deb12u3,deb,CVE-2023-4806,Medium,2023-09-18T17:15:55.813,"'A flaw was found in glibc. In an extremely rare situation, the getaddrinfo function may access memory that has been freed, resulting in an application crash. This issue is only exploitable when a NSS module implements only the _nss_*_gethostbyname2_r and _nss_*_getcanonname_r hooks without implementing the _nss_*_gethostbyname3_r hook. The resolved name should return a large number of IPv6 and IPv4, and the call to the getaddrinfo function should have the AF_INET6 address family with AI_CANONNAME, AI_ALL and AI_V4MAPPED as flags.'",libc62.36-92.36-9+deb12u3debCVE-2023-4806Medium
libc-bin,2.28-10,(won't fix),deb,CVE-2023-4806,Medium,2023-09-18T17:15:55.813,"'A flaw was found in glibc. In an extremely rare situation, the getaddrinfo function may access memory that has been freed, resulting in an application crash. This issue is only exploitable when a NSS module implements only the _nss_*_gethostbyname2_r and _nss_*_getcanonname_r hooks without implementing the _nss_*_gethostbyname3_r hook. The resolved name should return a large number of IPv6 and IPv4, and the call to the getaddrinfo function should have the AF_INET6 address family with AI_CANONNAME, AI_ALL and AI_V4MAPPED as flags.'",libc-bin2.28-10(won't fix)debCVE-2023-4806Medium
libc6,2.28-10,(won't fix),deb,CVE-2023-4806,Medium,2023-09-18T17:15:55.813,"'A flaw was found in glibc. In an extremely rare situation, the getaddrinfo function may access memory that has been freed, resulting in an application crash. This issue is only exploitable when a NSS module implements only the _nss_*_gethostbyname2_r and _nss_*_getcanonname_r hooks without implementing the _nss_*_gethostbyname3_r hook. The resolved name should return a large number of IPv6 and IPv4, and the call to the getaddrinfo function should have the AF_INET6 address family with AI_CANONNAME, AI_ALL and AI_V4MAPPED as flags.'",libc62.28-10(won't fix)debCVE-2023-4806Medium
libc-bin,2.31-13+deb11u2,(won't fix),deb,CVE-2023-4806,Medium,2023-09-18T17:15:55.813,"'A flaw was found in glibc. In an extremely rare situation, the getaddrinfo function may access memory that has been freed, resulting in an application crash. This issue is only exploitable when a NSS module implements only the _nss_*_gethostbyname2_r and _nss_*_getcanonname_r hooks without implementing the _nss_*_gethostbyname3_r hook. The resolved name should return a large number of IPv6 and IPv4, and the call to the getaddrinfo function should have the AF_INET6 address family with AI_CANONNAME, AI_ALL and AI_V4MAPPED as flags.'",libc-bin2.31-13+deb11u2(won't fix)debCVE-2023-4806Medium
libc-dev-bin,2.28-10,(won't fix),deb,CVE-2023-4806,Medium,2023-09-18T17:15:55.813,"'A flaw was found in glibc. In an extremely rare situation, the getaddrinfo function may access memory that has been freed, resulting in an application crash. This issue is only exploitable when a NSS module implements only the _nss_*_gethostbyname2_r and _nss_*_getcanonname_r hooks without implementing the _nss_*_gethostbyname3_r hook. The resolved name should return a large number of IPv6 and IPv4, and the call to the getaddrinfo function should have the AF_INET6 address family with AI_CANONNAME, AI_ALL and AI_V4MAPPED as flags.'",libc-dev-bin2.28-10(won't fix)debCVE-2023-4806Medium
libc6-dev,2.28-10,(won't fix),deb,CVE-2023-4806,Medium,2023-09-18T17:15:55.813,"'A flaw was found in glibc. In an extremely rare situation, the getaddrinfo function may access memory that has been freed, resulting in an application crash. This issue is only exploitable when a NSS module implements only the _nss_*_gethostbyname2_r and _nss_*_getcanonname_r hooks without implementing the _nss_*_gethostbyname3_r hook. The resolved name should return a large number of IPv6 and IPv4, and the call to the getaddrinfo function should have the AF_INET6 address family with AI_CANONNAME, AI_ALL and AI_V4MAPPED as flags.'",libc6-dev2.28-10(won't fix)debCVE-2023-4806Medium
libc6,2.31-13+deb11u4, ,deb,CVE-2019-9192,Negligible,2019-02-26T18:29:00.340,"""In the GNU C Library (aka glibc or libc6) through 2.29, check_dst_limits_calc_pos_1 in posix/regexec.c has Uncontrolled Recursion, as demonstrated by '(|)(\\\\1\\\\1)*' in grep, a different issue than CVE-2018-20796. NOTE: the software maintainer disputes that this is a vulnerability because the behavior occurs only with a crafted pattern""",libc62.31-13+deb11u4 debCVE-2019-9192Negligible
libc6,2.31-13+deb11u5, ,deb,CVE-2019-9192,Negligible,2019-02-26T18:29:00.340,"""In the GNU C Library (aka glibc or libc6) through 2.29, check_dst_limits_calc_pos_1 in posix/regexec.c has Uncontrolled Recursion, as demonstrated by '(|)(\\\\1\\\\1)*' in grep, a different issue than CVE-2018-20796. NOTE: the software maintainer disputes that this is a vulnerability because the behavior occurs only with a crafted pattern""",libc62.31-13+deb11u5 debCVE-2019-9192Negligible
libc6,2.31-13+deb11u6, ,deb,CVE-2019-9192,Negligible,2019-02-26T18:29:00.340,"""In the GNU C Library (aka glibc or libc6) through 2.29, check_dst_limits_calc_pos_1 in posix/regexec.c has Uncontrolled Recursion, as demonstrated by '(|)(\\\\1\\\\1)*' in grep, a different issue than CVE-2018-20796. NOTE: the software maintainer disputes that this is a vulnerability because the behavior occurs only with a crafted pattern""",libc62.31-13+deb11u6 debCVE-2019-9192Negligible
libc-bin,2.31-13, ,deb,CVE-2019-9192,Negligible,2019-02-26T18:29:00.340,"""In the GNU C Library (aka glibc or libc6) through 2.29, check_dst_limits_calc_pos_1 in posix/regexec.c has Uncontrolled Recursion, as demonstrated by '(|)(\\\\1\\\\1)*' in grep, a different issue than CVE-2018-20796. NOTE: the software maintainer disputes that this is a vulnerability because the behavior occurs only with a crafted pattern""",libc-bin2.31-13 debCVE-2019-9192Negligible
libc6,2.31-13, ,deb,CVE-2019-9192,Negligible,2019-02-26T18:29:00.340,"""In the GNU C Library (aka glibc or libc6) through 2.29, check_dst_limits_calc_pos_1 in posix/regexec.c has Uncontrolled Recursion, as demonstrated by '(|)(\\\\1\\\\1)*' in grep, a different issue than CVE-2018-20796. NOTE: the software maintainer disputes that this is a vulnerability because the behavior occurs only with a crafted pattern""",libc62.31-13 debCVE-2019-9192Negligible
libc6,2.31-13+deb11u3, ,deb,CVE-2019-9192,Negligible,2019-02-26T18:29:00.340,"""In the GNU C Library (aka glibc or libc6) through 2.29, check_dst_limits_calc_pos_1 in posix/regexec.c has Uncontrolled Recursion, as demonstrated by '(|)(\\\\1\\\\1)*' in grep, a different issue than CVE-2018-20796. NOTE: the software maintainer disputes that this is a vulnerability because the behavior occurs only with a crafted pattern""",libc62.31-13+deb11u3 debCVE-2019-9192Negligible
libc-bin,2.31-13+deb11u3, ,deb,CVE-2019-9192,Negligible,2019-02-26T18:29:00.340,"""In the GNU C Library (aka glibc or libc6) through 2.29, check_dst_limits_calc_pos_1 in posix/regexec.c has Uncontrolled Recursion, as demonstrated by '(|)(\\\\1\\\\1)*' in grep, a different issue than CVE-2018-20796. NOTE: the software maintainer disputes that this is a vulnerability because the behavior occurs only with a crafted pattern""",libc-bin2.31-13+deb11u3 debCVE-2019-9192Negligible
libc6,2.31-13+deb11u2, ,deb,CVE-2019-9192,Negligible,2019-02-26T18:29:00.340,"""In the GNU C Library (aka glibc or libc6) through 2.29, check_dst_limits_calc_pos_1 in posix/regexec.c has Uncontrolled Recursion, as demonstrated by '(|)(\\\\1\\\\1)*' in grep, a different issue than CVE-2018-20796. NOTE: the software maintainer disputes that this is a vulnerability because the behavior occurs only with a crafted pattern""",libc62.31-13+deb11u2 debCVE-2019-9192Negligible
libc6,2.36-9+deb12u1, ,deb,CVE-2019-9192,Negligible,2019-02-26T18:29:00.340,"""In the GNU C Library (aka glibc or libc6) through 2.29, check_dst_limits_calc_pos_1 in posix/regexec.c has Uncontrolled Recursion, as demonstrated by '(|)(\\\\1\\\\1)*' in grep, a different issue than CVE-2018-20796. NOTE: the software maintainer disputes that this is a vulnerability because the behavior occurs only with a crafted pattern""",libc62.36-9+deb12u1 debCVE-2019-9192Negligible
libc-bin,2.36-9, ,deb,CVE-2019-9192,Negligible,2019-02-26T18:29:00.340,"""In the GNU C Library (aka glibc or libc6) through 2.29, check_dst_limits_calc_pos_1 in posix/regexec.c has Uncontrolled Recursion, as demonstrated by '(|)(\\\\1\\\\1)*' in grep, a different issue than CVE-2018-20796. NOTE: the software maintainer disputes that this is a vulnerability because the behavior occurs only with a crafted pattern""",libc-bin2.36-9 debCVE-2019-9192Negligible
libc6,2.36-9, ,deb,CVE-2019-9192,Negligible,2019-02-26T18:29:00.340,"""In the GNU C Library (aka glibc or libc6) through 2.29, check_dst_limits_calc_pos_1 in posix/regexec.c has Uncontrolled Recursion, as demonstrated by '(|)(\\\\1\\\\1)*' in grep, a different issue than CVE-2018-20796. NOTE: the software maintainer disputes that this is a vulnerability because the behavior occurs only with a crafted pattern""",libc62.36-9 debCVE-2019-9192Negligible
libc-bin,2.28-10, ,deb,CVE-2019-9192,Negligible,2019-02-26T18:29:00.340,"""In the GNU C Library (aka glibc or libc6) through 2.29, check_dst_limits_calc_pos_1 in posix/regexec.c has Uncontrolled Recursion, as demonstrated by '(|)(\\\\1\\\\1)*' in grep, a different issue than CVE-2018-20796. NOTE: the software maintainer disputes that this is a vulnerability because the behavior occurs only with a crafted pattern""",libc-bin2.28-10 debCVE-2019-9192Negligible
libc6,2.28-10, ,deb,CVE-2019-9192,Negligible,2019-02-26T18:29:00.340,"""In the GNU C Library (aka glibc or libc6) through 2.29, check_dst_limits_calc_pos_1 in posix/regexec.c has Uncontrolled Recursion, as demonstrated by '(|)(\\\\1\\\\1)*' in grep, a different issue than CVE-2018-20796. NOTE: the software maintainer disputes that this is a vulnerability because the behavior occurs only with a crafted pattern""",libc62.28-10 debCVE-2019-9192Negligible
libc-bin,2.31-13+deb11u2, ,deb,CVE-2019-9192,Negligible,2019-02-26T18:29:00.340,"""In the GNU C Library (aka glibc or libc6) through 2.29, check_dst_limits_calc_pos_1 in posix/regexec.c has Uncontrolled Recursion, as demonstrated by '(|)(\\\\1\\\\1)*' in grep, a different issue than CVE-2018-20796. NOTE: the software maintainer disputes that this is a vulnerability because the behavior occurs only with a crafted pattern""",libc-bin2.31-13+deb11u2 debCVE-2019-9192Negligible
libc-bin,2.24-11+deb9u4, ,deb,CVE-2019-9192,Negligible,2019-02-26T18:29:00.340,"""In the GNU C Library (aka glibc or libc6) through 2.29, check_dst_limits_calc_pos_1 in posix/regexec.c has Uncontrolled Recursion, as demonstrated by '(|)(\\\\1\\\\1)*' in grep, a different issue than CVE-2018-20796. NOTE: the software maintainer disputes that this is a vulnerability because the behavior occurs only with a crafted pattern""",libc-bin2.24-11+deb9u4 debCVE-2019-9192Negligible
libc6,2.24-11+deb9u4, ,deb,CVE-2019-9192,Negligible,2019-02-26T18:29:00.340,"""In the GNU C Library (aka glibc or libc6) through 2.29, check_dst_limits_calc_pos_1 in posix/regexec.c has Uncontrolled Recursion, as demonstrated by '(|)(\\\\1\\\\1)*' in grep, a different issue than CVE-2018-20796. NOTE: the software maintainer disputes that this is a vulnerability because the behavior occurs only with a crafted pattern""",libc62.24-11+deb9u4 debCVE-2019-9192Negligible
multiarch-support,2.24-11+deb9u4, ,deb,CVE-2019-9192,Negligible,2019-02-26T18:29:00.340,"""In the GNU C Library (aka glibc or libc6) through 2.29, check_dst_limits_calc_pos_1 in posix/regexec.c has Uncontrolled Recursion, as demonstrated by '(|)(\\\\1\\\\1)*' in grep, a different issue than CVE-2018-20796. NOTE: the software maintainer disputes that this is a vulnerability because the behavior occurs only with a crafted pattern""",multiarch-support2.24-11+deb9u4 debCVE-2019-9192Negligible
libc-dev-bin,2.28-10, ,deb,CVE-2019-9192,Negligible,2019-02-26T18:29:00.340,"""In the GNU C Library (aka glibc or libc6) through 2.29, check_dst_limits_calc_pos_1 in posix/regexec.c has Uncontrolled Recursion, as demonstrated by '(|)(\\\\1\\\\1)*' in grep, a different issue than CVE-2018-20796. NOTE: the software maintainer disputes that this is a vulnerability because the behavior occurs only with a crafted pattern""",libc-dev-bin2.28-10 debCVE-2019-9192Negligible
